time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-27T16:03:41.670Z,33.5118333,-116.4811667,16.49,0.57,ml,17,94,0.04775,0.17,ci,ci38093544,2018-01-27T16:07:26.806Z,"18km ESE of Anza, CA",earthquake,0.63,0.83,0.132,11,automatic,ci,ci
2018-01-27T16:03:20.487Z,59.918,-152.6692,82.2,1.5,ml,,,,0.21,ak,ak18209332,2018-01-27T16:07:07.831Z,"49km WNW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-01-27T15:19:42.360Z,35.7573318,-121.2563324,5.52,2.68,md,39,209,0.04978,0.05,nc,nc72959561,2018-01-27T20:09:30.784Z,"14km NNW of San Simeon, CA",earthquake,0.49,0.82,0.13,41,automatic,nc,nc
2018-01-27T15:17:17.900Z,18.208,-67.2528,99,2.73,md,3,288,0.2473,0.14,pr,pr2018027005,2018-01-27T19:28:50.486Z,"11km W of Mayaguez, Puerto Rico",earthquake,2.9,1.27,0.03,3,reviewed,pr,pr
2018-01-27T15:06:49.734Z,56.099,-150.0602,0.1,3.4,ml,,,,0.65,ak,ak18209317,2018-01-27T15:18:16.225Z,"236km SE of Kodiak, Alaska",earthquake,,4.9,,,automatic,ak,ak
2018-01-27T14:54:49.800Z,38.8375015,-122.836998,1.7,1.61,md,24,60,0.001604,0.05,nc,nc72959546,2018-01-27T17:36:01.735Z,"10km NW of The Geysers, CA",earthquake,0.23,0.36,0.13,8,automatic,nc,nc
2018-01-27T14:54:26.670Z,18.0751,-67.079,16,1.98,md,3,245,0.0752,0.02,pr,pr2018027004,2018-01-27T16:31:33.180Z,"1km S of Sabana Eneas, Puerto Rico",earthquake,7.37,4.16,0.1,2,reviewed,pr,pr
2018-01-27T14:54:18.760Z,36.6178322,-120.6104965,2.93,1.87,md,6,111,0.1535,0.14,nc,nc72959556,2018-01-27T18:03:03.267Z,"23km NNE of New Idria, CA",earthquake,0.71,2.39,0.24,5,automatic,nc,nc
2018-01-27T14:54:07.520Z,38.8383331,-122.8361664,1.82,1.38,md,17,96,0.0005889,0.04,nc,nc72959551,2018-01-27T17:08:02.687Z,"10km NW of The Geysers, CA",earthquake,0.3,0.5,0.03,4,automatic,nc,nc
2018-01-27T14:53:05.540Z,36.6603317,-121.0476685,0.27,1.13,md,7,224,0.02011,0.31,nc,nc72959541,2018-01-27T16:39:02.625Z,"17km NNE of Pinnacles, CA",earthquake,17.49,17,0.25,6,automatic,nc,nc
2018-01-27T14:50:11.240Z,35.7033333,-118.0795,3.39,1.53,ml,20,84,0.1329,0.12,ci,ci38093520,2018-01-27T15:00:27.620Z,"25km WNW of Inyokern, CA",earthquake,0.2,0.7,0.256,26,automatic,ci,ci
2018-01-27T14:40:35.750Z,15.9889,-84.5352,10,4.7,mb,,76,2.875,1.03,us,us2000cqd2,2018-01-27T22:09:21.347Z,"27km NNW of Brus Laguna, Honduras",earthquake,7.9,2,0.115,23,reviewed,us,us
2018-01-27T14:32:18.010Z,33.759,-116.9691667,13.99,0.72,ml,20,54,0.05747,0.19,ci,ci38093512,2018-01-27T14:36:00.229Z,"1km NNE of Hemet, CA",earthquake,0.38,0.61,0.178,21,automatic,ci,ci
2018-01-27T14:19:33.715Z,56.1336,-149.868,34.9,3.3,ml,,,,0.6,ak,ak18208809,2018-01-27T14:25:27.618Z,"240km SE of Kodiak, Alaska",earthquake,,10.7,,,automatic,ak,ak
2018-01-27T14:04:22.060Z,36.75,-116.2558,4.1,0.3,ml,8,134.13,0.058,,nn,nn00619812,2018-01-27T14:06:50.608Z,"48km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2018-01-27T14:02:50.280Z,19.4163342,-155.2651672,0.69,1.81,md,14,62,0.006541,0.13,hv,hv70022867,2018-01-27T14:08:22.170Z,"3km WSW of Volcano, Hawaii",earthquake,0.2,0.31,0.55,11,automatic,hv,hv
2018-01-27T13:57:36.880Z,34.516,-118.7988333,11.14,1.46,ml,22,60,0.1163,0.34,ci,ci38093504,2018-01-27T14:01:32.044Z,"11km N of Piru, CA",earthquake,0.66,1.2,0.175,29,automatic,ci,ci
2018-01-27T13:57:22.551Z,61.9451,-149.899,35.8,1.8,ml,,,,0.61,ak,ak18208805,2018-01-27T14:03:33.463Z,"23km NNE of Willow, Alaska",earthquake,,5.6,,,automatic,ak,ak
2018-01-27T13:55:07.171Z,38.4351,-119.3648,8.8,1,ml,16,98.92,0.09,0.1656,nn,nn00619811,2018-01-27T15:47:20.430Z,"23km NNW of Bridgeport, California",earthquake,,2,0.45,5,reviewed,nn,nn
2018-01-27T13:51:25.690Z,33.7453333,-117.4943333,10,1.85,ml,71,32,0.02086,0.28,ci,ci38093496,2018-01-27T14:57:19.031Z,"13km NE of Trabuco Canyon, CA",earthquake,0.29,0.54,0.193,26,automatic,ci,ci
